"Species","Catch","FG_num","FG_name"
"Actinopterygii",4590154.85843,NA,NA
"Chamelea gallina",2072742.11158,NA,NA
"Clupeonella cultriventris",2006595.77,NA,NA
"Sardinella spp",1677511.03,NA,NA
"Trachurus spp",1634777.118,NA,NA
"Mytilus galloprovincialis",1121734.85654,NA,NA
"Mullus spp",801576.129,NA,NA
"Merlangius merlangus",734017.80845,NA,NA
"Mollusca",653256.34485,NA,NA
"Sepiidae, Sepiolidae",598442.94676,NA,NA
"Spicara spp",579168.400020023,NA,NA
"Pomatomus saltatrix",529907.21896,NA,NA
"Gobiidae",477474.70822,NA,NA
"Natantia",420231.295,NA,NA
"Octopodidae",351468.885,NA,NA
"Sparidae",321408.893,NA,NA
"Mustelus spp",274609.8991,NA,NA
"Squilla mantis",263142.4339,NA,NA
"Rajiformes",256073.73602,NA,NA
"Atherinidae",231431.96,NA,NA
"Lophius spp",215575.273,NA,NA
"Triglidae",213314.578,NA,NA
"Auxis thazard, A. rochei",212855.045,NA,NA
"Scomber spp",207520.861643914,NA,NA
"Euthynnus alletteratus",190429.09389,NA,NA
"Rapana venosa",176927.796,NA,NA
"Eledone spp",173005.92,NA,NA
"Pagellus spp",162417.555,NA,NA
"Crustacea",150354.48445,NA,NA
"Diplodus spp",148281.07187,NA,NA
"Thunnus alalunga",143387.288,NA,NA
"Alosa spp",123169.799,NA,NA
"Scorpaenidae",121586.377,NA,NA
"Elasmobranchii",120339.041,NA,NA
"Clupeoidei",119067.59,NA,NA
"Brachyura",112686.23278,NA,NA
"Sphyraena spp",99746.691,NA,NA
"Epinephelus spp",93164.20819,NA,NA
"Squalidae",88320.559,NA,NA
"Belone belone",87947.43718,NA,NA
"Pleuronectiformes",80887.032,NA,NA
"Mugil soiuy",79652.101,NA,NA
"Perciformes",78342.44,NA,NA
"Sander lucioperca",72195,NA,NA
"Dicentrarchus spp",66935.43,NA,NA
"Bivalvia",58951.13,NA,NA
"Trisopterus minutus",58887.55199,NA,NA
"Ostrea edulis",58372.6305,NA,NA
"Synodontidae",55505.33,NA,NA
"Loliginidae, Ommastrephidae",55478.525,NA,NA
"Serranidae",54193.43,NA,NA
"Aristeidae",53408.2,NA,NA
"Scophthalmidae",49688.8,NA,NA
"Argyrosomus regius",43437.974,NA,NA
"Gadiformes",41894.448,NA,NA
"Scombroidei",36896.713,NA,NA
"Siganus spp",35103.186,NA,NA
"Abramis brama",34997,NA,NA
"Trichiurus lepturus",34248.39,NA,NA
"Acipenseridae",30037.68,NA,NA
"Carcinus aestuarii",28575.517,NA,NA
"Rutilus spp",28289,NA,NA
"Cephalopoda",27924.23,NA,NA
"Rhopilema spp",27776,NA,NA
"Sciaenidae",26631.96,NA,NA
"Callista chione",26279.2396,NA,NA
"Ruditapes decussatus",26263.081,NA,NA
"Trisopterus luscus",25425.032,NA,NA
"Scomberomorus commerson",24445.6,NA,NA
"Alosa immaculata",23562.45,NA,NA
"Pagrus spp",22458.3650975088,NA,NA
"Scombridae",22096.16,NA,NA
"Dicentrarchus punctatus",21872.24,NA,NA
"Carangidae",18750.89,NA,NA
"Metapenaeus monoceros",18731.1,NA,NA
"Cyprinidae",13472,NA,NA
"Crangon crangon",10947.92812,NA,NA
"Cerastoderma edule",10927.14,NA,NA
"Tritia mutabilis",10842.10071,NA,NA
"Donax spp",10500.504,NA,NA
"Ammodytes spp",10474.52,NA,NA
"Scyliorhinus spp",9463.972,NA,NA
"Venerupis corrugata",9148.1,NA,NA
"Veneridae",8807.21,NA,NA
"Invertebrata",8780.714,NA,NA
"Pecten jacobaeus",7859.30087,NA,NA
"Murex spp",7742.78,NA,NA
"Saurida undosquamis",7272,NA,NA
"Carassius carassius",6877,NA,NA
"Pectinidae",5823.74462,NA,NA
"Nemipterus randalli",5715,NA,NA
"Rapana spp",5643,NA,NA
"Platichthys flesus",5476.49669,NA,NA
"Microcosmus vulgaris",4978.3,NA,NA
"Ex Mollusca",4880.88,NA,NA
"Spongiidae",4600.68,NA,NA
"Erugosquilla massavensis",4557,NA,NA
"Palinurus spp",4281.166,NA,NA
"Orcynopsis unicolor",4162.44,NA,NA
"Auxis thazard",4089.72,NA,NA
"Solenidae",4031.72,NA,NA
"Palaemon adspersus",3894.302,NA,NA
"Littorina littorea",3827.626,NA,NA
"Squatinidae",3711.3,NA,NA
"Pelecus cultratus",3591,NA,NA
"Trachinus spp",3547.83,NA,NA
"Aspitrigla cuculus",3479.70064208737,NA,NA
"Bolinus brandaris",3290.81756,NA,NA
"Mya arenaria",3173.17,NA,NA
"Sparisoma cretense",3137.254,NA,NA
"Trachinidae",3106.666,NA,NA
"Esox lucius",3031,NA,NA
"Argentina spp",2726.191,NA,NA
"Phycis spp",2610.221,NA,NA
"Katsuwonus pelamis",2609.34002,NA,NA
"Portunus pelagicus",2488,NA,NA
"Rhinobatidae",2381,NA,NA
"Etrumeus teres",2345.808,NA,NA
"Naucrates ductor",2027.3372,NA,NA
"Plesionika edwardsii",1935.68347,NA,NA
"Plectorhinchus mediterraneus",1768.98,NA,NA
"Labridae",1747.8279,NA,NA
"Tetrapturus belone",1552.35222,NA,NA
"Soleidae",1533.35,NA,NA
"Rutilus rutilus",1522.61,NA,NA
"Penaeus japonicus",1487.466,NA,NA
"Geryon longipes",1469.85,NA,NA
"Silurus glanis",1387,NA,NA
"Scyllarides latus",1335.161,NA,NA
"Pomadasys stridens",1310,NA,NA
"Trachinotus ovatus",1292.03666,NA,NA
"Artemia salina",1126.94,NA,NA
"Caranx spp",1032.39,NA,NA
"Acanthocardia tuberculata",1006.81,NA,NA
"Liza spp",973.9295,NA,NA
"Testudinata",963,NA,NA
"Holothuroidea",926.75,NA,NA
"Venus verrucosa",897.43119,NA,NA
"Palaemon serratus",860.463,NA,NA
"Scaridae",845,NA,NA
"Pandalidae",681.178,NA,NA
"Lophiidae",673.697,NA,NA
"Scorpaena spp",659.13504,NA,NA
"Pagrus caeruleostictus",643.6,NA,NA
"Gymnammodytes cicerelus",631.84174,NA,NA
"Cardiidae",624.1668,NA,NA
"Acipenser gueldenstaedtii",601,NA,NA
"Mimachlamys varia",543.94334,NA,NA
"Sargocentron rubrum",521.993,NA,NA
"Raja spp",521.566300209411,NA,NA
"Centrolophidae",497.18,NA,NA
"Upeneus spp",436.063,NA,NA
"Callinectes sapidus",326.58,NA,NA
"Portunidae",315.13,NA,NA
"Alepes djedaba",302.065,NA,NA
"Arnoglossus spp",294.88555,NA,NA
"Tellina spp",284.549,NA,NA
"Myliobatidae",284.19,NA,NA
"Percarina demidoffi",269,NA,NA
"Lagocephalus sceleratus",251.9,NA,NA
"Rhinobatos rhinobatos",250,NA,NA
"Gaidropsarus spp",240.61,NA,NA
"Chelidonichthys lastoviza",222.77488098689,NA,NA
"Scyliorhinidae",217.96,NA,NA
"Mycteroperca rubra",208.835,NA,NA
"Arca noae",205.541,NA,NA
"Solenocera membranacea",201.0403,NA,NA
"Plesionika martia",200.68,NA,NA
"Mugil spp",186.789,NA,NA
"Cyprinus carpio",181,NA,NA
"Priacanthus spp",161,NA,NA
"Trigla spp",159.06,NA,NA
"Plesionika spp",154.0983,NA,NA
"Siganus rivulatus",145.852,NA,NA
"Atherina hepsetus",142.14,NA,NA
"Serranus spp",141.68324,NA,NA
"Salmonoidei",132.7,NA,NA
"Echinoidea",132.62,NA,NA
"Pandalus borealis",126.4732,NA,NA
"Lepidorhombus spp",124.0553,NA,NA
"Acipenser stellatus",121,NA,NA
"Ascidiacea",97.187,NA,NA
"Epinephelus caninus",95.86882,NA,NA
"Dasyatidae",95.72,NA,NA
"Istiophoridae",92.985,NA,NA
"Lagocephalus spp",69.497,NA,NA
"Balistidae",68.02,NA,NA
"Pecten maximus",68.01,NA,NA
"Reptantia",65.35,NA,NA
"Huso huso",63,NA,NA
"Thunnini",61.55,NA,NA
"Siganus luridus",58.917,NA,NA
"Ruvettus pretiosus",53.311,NA,NA
"Donax trunculus",52.13,NA,NA
"Ommastrephidae",50.497114912879,NA,NA
"Mullidae",44.75,NA,NA
"Carassius auratus",44,NA,NA
"Campogramma glaycos",43.69,NA,NA
"Sphyraenidae",42.90548,NA,NA
"Gymnothorax unicolor",42.2,NA,NA
"Chaceon spp",40.14,NA,NA
"Serranus atricauda",37.47,NA,NA
"Solen marginatus",36.9732,NA,NA
"Fistularia commersonii",36.06,NA,NA
"Pasiphaea multidentata",32.98,NA,NA
"Penaeus spp",32.001,NA,NA
"Centroscymnus coelolepis",32,NA,NA
"Echinodermata",31,NA,NA
"Sipunculus nudus",28.1877,NA,NA
"Bothidae",27.844,NA,NA
"Polychaeta",27.53,NA,NA
"Hexaplex trunculus",26.276,NA,NA
"Cheilopogon heterurus",25.69,NA,NA
"Terapon puta",25.1,NA,NA
"Argentinidae",24.05372,NA,NA
"Pasiphaea sivado",23.79,NA,NA
"Galeodea echinophora",23.2025,NA,NA
"Limanda limanda",23.064,NA,NA
"Istiophorus albicans",22.07,NA,NA
"Gasterosteus aculeatus",21,NA,NA
"Epigonus spp",20,NA,NA
"Rajidae",17.783,NA,NA
"Mesogobius batrachocephalus",17.57,NA,NA
"Parastichopus regalis",17.074,NA,NA
"Caranx hippos",16.99,NA,NA
"Palaemonidae",15.28,NA,NA
"Cassidae",15.27998,NA,NA
"Alectis alexandrina",14.93,NA,NA
"Thunnus albacares",13.92,NA,NA
"Coryphaena equiselis",13,NA,NA
"Sillago sihama",12.5,NA,NA
"Clupeidae",11.91,NA,NA
"Crassostrea spp",10.952,NA,NA
"Beryx spp",10.2,NA,NA
"Alosa caspia",10.14,NA,NA
"Scapharca spp",9.981,NA,NA
"Stephanolepis diaspros",9.814,NA,NA
"Parupeneus forsskali",9.705,NA,NA
"Osmerus eperlanus",9.383,NA,NA
"Perca fluviatilis",9,NA,NA
"Synaptura lusitanica",8.74,NA,NA
"Solea spp",8.685,NA,NA
"Aporrhais pespelecani",8.33484,NA,NA
"Osmerus mordax",8,NA,NA
"Ensis siliqua",7.42,NA,NA
"Carcinus maenas",7.393,NA,NA
"Aspius aspius",7,NA,NA
"Dentex spp",6.555064250631,NA,NA
"Illex illecebrosus",6.16,NA,NA
"Pleuronectidae",6.13,NA,NA
"Anthozoa",6.02,NA,NA
"Alopias superciliosus",6,NA,NA
"Labrus merula",5.89,NA,NA
"Gymnura altavela",5.68,NA,NA
"Raja undulata",5.2684472568905,NA,NA
"Semicassis granulata",5.25,NA,NA
"Torpedo spp",5.03,NA,NA
"Acanthocybium solandri",5,NA,NA
"Solen spp",5,NA,NA
"Pseudaphya ferreri",4.75,NA,NA
"Percoidei",4.64,NA,NA
"Modiolus barbatus",4.594,NA,NA
"Paromola cuvieri",4.53,NA,NA
"Upeneus moluccensis",4.348,NA,NA
"Pelates quadrilineatus",4,NA,NA
"Pterois miles",3.942,NA,NA
"Galatheidae",3.93,NA,NA
"Triakidae",3.735,NA,NA
"Sarda spp",3.65,NA,NA
"Caranx crysos",3.563,NA,NA
"Gobius spp",3.2,NA,NA
"Hypophthalmichthys molitrix",3,NA,NA
"Sepia spp",2.98,NA,NA
"Pagrus auriga",2.7,NA,NA
"Aristaeopsis edwardsiana",2.56,NA,NA
"Halobatrachus didactylus",2.5,NA,NA
"Trisopterus spp",2.42,NA,NA
"Carcharhinidae",2.21,NA,NA
"Muraenidae",1.933,NA,NA
"Crangon spp",1.51,NA,NA
"Penaeidae",1.49,NA,NA
"Munida rugosa",1.43,NA,NA
"Loligo reynaudii",1.41,NA,NA
"Portunus spp",1.41,NA,NA
"Tritia reticulata",1.2352,NA,NA
"Calappa granulata",1.21,NA,NA
"Pseudupeneus prayensis",1.09,NA,NA
"Aetomylaeus bovinus",0.93,NA,NA
"Labrus spp",0.92335,NA,NA
"Scyllaridae",0.908,NA,NA
