country,area,vessel,gear,rigging,door,year,month,day,haul_number,codend_closing,shooting_time,shooting_quadrant,shooting_latitude,shooting_longitude,shooting_depth,hauling_time,hauling_quadrant,hauling_latitude,hauling_longitude,hauling_depth,hauling_duration,validity,course,recorded_species,distance,vertical_opening,wing_opening,geometrical_precision,bridles_length,warp_length,warp_diameter,hydrological_station,observations,type_of_file,bottom_temperature_beginning,bottom_temperature_end,measuring_system_temp,number_of_the_stratum,part_of_the_codend,name_of_survey,bottom_salinity_beginning,bottom_salinity_end,measuring_system_sal
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,12,1.0000,S,6.4600,1,4338.0570,2843.6000,52.0000,7.4600,1,4337.2300,2846.1400,58.0000,60.0000,V,R,2,3729.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,12,2.0000,S,8.0400,1,4337.0000,2849.0000,64.0000,9.0400,1,4335.2000,2851.1050,67.0000,60.0000,V,R,2,4363.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,12,3.0000,S,10.0000,1,4332.6660,2845.5500,61.0000,11.0000,1,4331.4360,2848.8300,68.0000,60.0000,V,R,2,4952.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,12,4.0000,S,12.0000,1,4328.9000,2847.1700,68.0000,13.0000,1,4326.7000,2841.9000,65.0000,60.0000,V,R,2,8163.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,17,5.0000,S,6.3000,1,4318.4390,2843.3990,86.0000,7.3000,1,4316.7900,2841.6000,79.0000,60.0000,V,R,2,3895.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,17,6.0000,S,8.0500,1,4316.8250,2835.0160,66.0000,9.0500,1,4318.1230,2832.9000,50.0000,60.0000,V,R,2,3726.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,17,7.0000,S,9.5000,1,4318.9190,2830.2000,55.0000,10.5000,1,4316.2220,2828.8500,50.0000,60.0000,V,R,2,5310.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,17,8.0000,S,11.4000,1,4316.9200,2825.7190,52.0000,12.4000,1,4316.8400,2821.9000,58.0000,60.0000,V,R,2,5145.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,17,9.0000,S,13.1500,1,4316.0000,2820.0000,26.0000,14.1500,1,4311.1000,2816.9000,27.0000,60.0000,V,R,2,9981.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,1.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,17,10.0000,S,15.0000,1,4314.0000,2825.7000,40.0000,16.0000,1,4311.1600,2828.0450,78.0000,60.0000,V,R,2,6132.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,18,11.0000,S,6.5800,1,4309.9000,2832.1000,82.0000,7.5800,1,4306.8550,2836.9600,85.0000,60.0000,V,R,2,8647.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,3.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,18,12.0000,S,8.3000,1,4309.9000,2825.7000,53.0000,9.3000,1,4307.8000,2820.8700,50.0000,60.0000,V,R,2,7589.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,18,13.0000,S,10.2000,1,4304.8000,2820.5800,50.0000,11.2000,1,4300.1430,2819.0180,63.0000,60.0000,V,R,2,8870.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,18,14.0000,S,12.1000,1,4300.2000,2818.6000,61.0000,12.4000,1,4258.0000,2814.1500,60.0000,30.0000,V,R,2,7268.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
BGR,29,EGE,BOTTR,GC73,WHS8,2014,11,18,15.0000,S,13.4500,1,4258.2000,2814.7800,40.0000,14.4500,1,4256.8500,2811.1100,61.0000,60.0000,V,R,2,5561.0000,20.0000,130.0000,E,100.0000,100.0000,12.0000,NA,0,TA,-1.0000,-1.0000,NA,2.0000,S,BTSBS-AUT,-1.0000,-1.0000,NA
