"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","DIVISION.CODE","PERIOD","VALUE","STATUS","MEASURE"
"008","ELE","37.2.2",1970,0,"O","Q_tlw"
"008","ELE","37.2.2",1971,0,"O","Q_tlw"
"008","ELE","37.2.2",1972,0,"O","Q_tlw"
"008","ELE","37.2.2",1973,0,"O","Q_tlw"
"008","ELE","37.2.2",1974,0,"O","Q_tlw"
"008","ELE","37.2.2",1975,0,"O","Q_tlw"
"008","ELE","37.2.2",1976,0,"O","Q_tlw"
"008","ELE","37.2.2",1977,0,"O","Q_tlw"
"008","ELE","37.2.2",1978,0,"O","Q_tlw"
"008","ELE","37.2.2",1979,0,"O","Q_tlw"
"008","ELE","37.2.2",1980,0,"O","Q_tlw"
"008","ELE","37.2.2",1981,0,"O","Q_tlw"
"008","ELE","37.2.2",1982,0,"O","Q_tlw"
"008","ELE","37.2.2",1983,0,"O","Q_tlw"
"008","ELE","37.2.2",1984,0,"O","Q_tlw"
"008","ELE","37.2.2",1985,0,"O","Q_tlw"
"008","ELE","37.2.2",1986,0,"O","Q_tlw"
"008","ELE","37.2.2",1987,0,"O","Q_tlw"
"008","ELE","37.2.2",1988,0,"O","Q_tlw"
"008","ELE","37.2.2",1989,0,"O","Q_tlw"
"008","ELE","37.2.2",1990,0,"O","Q_tlw"
"008","ELE","37.2.2",1991,0,"O","Q_tlw"
"008","ELE","37.2.2",1992,0,"O","Q_tlw"
"008","ELE","37.2.2",1993,0,"O","Q_tlw"
"008","ELE","37.2.2",1994,0,"O","Q_tlw"
"008","ELE","37.2.2",1995,33,"A","Q_tlw"
"008","ELE","37.2.2",1996,40,"A","Q_tlw"
"008","ELE","37.2.2",1997,0,"A","Q_tlw"
"008","ELE","37.2.2",1998,0,"A","Q_tlw"
"008","ELE","37.2.2",1999,0,"A","Q_tlw"
"008","ELE","37.2.2",2000,0,"A","Q_tlw"
"008","ELE","37.2.2",2001,98,"A","Q_tlw"
"008","ELE","37.2.2",2002,2,"A","Q_tlw"
"008","ELE","37.2.2",2003,0,"N","Q_tlw"
"008","ELE","37.2.2",2004,2,"A","Q_tlw"
"008","ELE","37.2.2",2005,3,"A","Q_tlw"
"008","ELE","37.2.2",2006,3,"A","Q_tlw"
"008","ELE","37.2.2",2007,3,"A","Q_tlw"
"008","ELE","37.2.2",2008,5,"A","Q_tlw"
"008","ELE","37.2.2",2009,4,"A","Q_tlw"
"008","ELE","37.2.2",2010,4,"I","Q_tlw"
"008","ELE","37.2.2",2011,3,"A","Q_tlw"
"008","ELE","37.2.2",2012,0,"A","Q_tlw"
"008","ELE","37.2.2",2013,0,"A","Q_tlw"
"008","ELE","37.2.2",2014,0,"A","Q_tlw"
"008","ELE","37.2.2",2015,0,"A","Q_tlw"
"008","ELE","37.2.2",2016,0,"A","Q_tlw"
"008","ELE","37.2.2",2017,0,"A","Q_tlw"
"008","ELE","37.2.2",2018,0,"A","Q_tlw"
"008","FLX","37.2.2",1970,0,"A","Q_tlw"
"008","FLX","37.2.2",1971,0,"A","Q_tlw"
"008","FLX","37.2.2",1972,0,"A","Q_tlw"
"008","FLX","37.2.2",1973,0,"A","Q_tlw"
"008","FLX","37.2.2",1974,0,"A","Q_tlw"
"008","FLX","37.2.2",1975,0,"A","Q_tlw"
"008","FLX","37.2.2",1976,0,"A","Q_tlw"
"008","FLX","37.2.2",1977,0,"A","Q_tlw"
"008","FLX","37.2.2",1978,0,"A","Q_tlw"
"008","FLX","37.2.2",1979,0,"A","Q_tlw"
"008","FLX","37.2.2",1980,0,"A","Q_tlw"
"008","FLX","37.2.2",1981,0,"A","Q_tlw"
"008","FLX","37.2.2",1982,0,"A","Q_tlw"
"008","FLX","37.2.2",1983,0,"A","Q_tlw"
"008","FLX","37.2.2",1984,0,"A","Q_tlw"
"008","FLX","37.2.2",1985,0,"A","Q_tlw"
"008","FLX","37.2.2",1986,0,"A","Q_tlw"
"008","FLX","37.2.2",1987,0,"A","Q_tlw"
"008","FLX","37.2.2",1988,0,"A","Q_tlw"
"008","FLX","37.2.2",1989,0,"A","Q_tlw"
"008","FLX","37.2.2",1990,0,"A","Q_tlw"
"008","FLX","37.2.2",1991,0,"A","Q_tlw"
"008","FLX","37.2.2",1992,0,"A","Q_tlw"
"008","FLX","37.2.2",1993,0,"A","Q_tlw"
"008","FLX","37.2.2",1994,0,"A","Q_tlw"
"008","FLX","37.2.2",1995,0,"A","Q_tlw"
"008","FLX","37.2.2",1996,0,"A","Q_tlw"
"008","FLX","37.2.2",1997,0,"A","Q_tlw"
"008","FLX","37.2.2",1998,0,"A","Q_tlw"
"008","FLX","37.2.2",1999,0,"A","Q_tlw"
"008","FLX","37.2.2",2000,0,"A","Q_tlw"
"008","FLX","37.2.2",2001,0,"A","Q_tlw"
"008","FLX","37.2.2",2002,0,"A","Q_tlw"
"008","FLX","37.2.2",2003,29,"A","Q_tlw"
"008","FLX","37.2.2",2004,2,"A","Q_tlw"
"008","FLX","37.2.2",2005,2,"A","Q_tlw"
"008","FLX","37.2.2",2006,4,"A","Q_tlw"
"008","FLX","37.2.2",2007,0,"A","Q_tlw"
"008","FLX","37.2.2",2008,0,"A","Q_tlw"
"008","FLX","37.2.2",2009,0,"A","Q_tlw"
"008","FLX","37.2.2",2010,0,"A","Q_tlw"
"008","FLX","37.2.2",2011,0,"A","Q_tlw"
"008","FLX","37.2.2",2012,0,"A","Q_tlw"
"008","FLX","37.2.2",2013,0,"A","Q_tlw"
