"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","DIVISION.CODE","PERIOD","VALUE","STATUS","MEASURE"
"048","CNS","51.2.0",2004,93,"A","Q_tlw"
"048","CNS","51.2.0",2005,15,"A","Q_tlw"
"048","CNS","51.2.0",2006,71,"A","Q_tlw"
"048","CNS","51.2.0",2007,196,"A","Q_tlw"
"048","CNS","51.2.0",2008,263,"A","Q_tlw"
"048","CNS","51.2.0",2009,216,"A","Q_tlw"
"048","CNS","51.2.0",2010,205,"A","Q_tlw"
"048","CNS","51.2.0",2011,221,"A","Q_tlw"
"048","CNS","51.2.0",2012,289,"A","Q_tlw"
"048","CNS","51.2.0",2013,364,"A","Q_tlw"
"048","CNS","51.2.0",2014,300,"A","Q_tlw"
"048","CNS","51.2.0",2015,304.655,"I","Q_tlw"
"048","CNS","51.2.0",2016,246.752,"I","Q_tlw"
"048","CNS","51.2.0",2017,342.5,"I","Q_tlw"
"048","CNS","51.2.0",2018,323.976,"I","Q_tlw"
"048","CNS","51.2.0",2019,340.23,"I","Q_tlw"
"048","CNS","51.2.0",2020,280.094,"I","Q_tlw"
"048","CNS","51.2.0",2021,161.978,"I","Q_tlw"
"048","CNS","51.2.0",2022,235.144,"I","Q_tlw"
"048","CNS","51.2.0",2023,230,"I","Q_tlw"
"048","MIL","51.2.0",2004,0,"N","Q_tlw"
"048","MIL","51.2.0",2005,0,"N","Q_tlw"
"048","MIL","51.2.0",2006,5,"A","Q_tlw"
"048","MIL","51.2.0",2007,3,"A","Q_tlw"
"048","MIL","51.2.0",2008,35,"A","Q_tlw"
"048","MIL","51.2.0",2009,9,"A","Q_tlw"
"048","MIL","51.2.0",2010,7,"A","Q_tlw"
"048","MIL","51.2.0",2011,3,"A","Q_tlw"
"048","MIL","51.2.0",2012,9,"A","Q_tlw"
"048","MIL","51.2.0",2013,46,"A","Q_tlw"
"048","MIL","51.2.0",2014,17,"A","Q_tlw"
"048","MIL","51.2.0",2015,17.264,"I","Q_tlw"
"048","MIL","51.2.0",2016,13.983,"I","Q_tlw"
"048","MIL","51.2.0",2017,19.408,"I","Q_tlw"
"048","MIL","51.2.0",2018,18.359,"I","Q_tlw"
"048","MIL","51.2.0",2019,19.28,"I","Q_tlw"
"048","MIL","51.2.0",2020,15.872,"I","Q_tlw"
"048","MIL","51.2.0",2021,9.179,"I","Q_tlw"
"048","MIL","51.2.0",2022,13.325,"I","Q_tlw"
"048","MIL","51.2.0",2023,10,"I","Q_tlw"
"048","OUN","51.2.0",2004,3,"A","Q_tlw"
"048","OUN","51.2.0",2005,5,"A","Q_tlw"
"048","OUN","51.2.0",2006,0,"N","Q_tlw"
"048","OUN","51.2.0",2007,0,"N","Q_tlw"
"048","OUN","51.2.0",2008,2,"A","Q_tlw"
"048","OUN","51.2.0",2009,2,"A","Q_tlw"
"048","OUN","51.2.0",2010,0,"A","Q_tlw"
"048","OUN","51.2.0",2011,0,"A","Q_tlw"
"048","OUN","51.2.0",2012,1,"A","Q_tlw"
"048","OUN","51.2.0",2013,1,"A","Q_tlw"
"048","OUN","51.2.0",2014,4,"A","Q_tlw"
"048","OUN","51.2.0",2015,4.062,"I","Q_tlw"
"048","OUN","51.2.0",2016,3.29,"I","Q_tlw"
"048","OUN","51.2.0",2017,4.567,"I","Q_tlw"
"048","OUN","51.2.0",2018,4.32,"I","Q_tlw"
"048","OUN","51.2.0",2019,4.536,"I","Q_tlw"
"048","OUN","51.2.0",2020,3.735,"I","Q_tlw"
"048","OUN","51.2.0",2021,2.16,"I","Q_tlw"
"048","OUN","51.2.0",2022,3.135,"I","Q_tlw"
"048","OUN","51.2.0",2023,3,"I","Q_tlw"
"048","AUX","51.2.0",2004,299,"A","Q_tlw"
"048","AUX","51.2.0",2005,202,"A","Q_tlw"
"048","AUX","51.2.0",2006,59,"A","Q_tlw"
"048","AUX","51.2.0",2007,83,"A","Q_tlw"
"048","AUX","51.2.0",2008,80,"A","Q_tlw"
"048","AUX","51.2.0",2009,70,"A","Q_tlw"
"048","AUX","51.2.0",2010,32,"A","Q_tlw"
"048","AUX","51.2.0",2011,41,"A","Q_tlw"
"048","AUX","51.2.0",2012,31,"A","Q_tlw"
"048","AUX","51.2.0",2013,37,"A","Q_tlw"
"048","AUX","51.2.0",2014,101,"A","Q_tlw"
"048","AUX","51.2.0",2015,102.567,"I","Q_tlw"
"048","AUX","51.2.0",2016,83.073,"I","Q_tlw"
"048","AUX","51.2.0",2017,115.308,"I","Q_tlw"
"048","AUX","51.2.0",2018,109.072,"I","Q_tlw"
"048","AUX","51.2.0",2019,114.544,"I","Q_tlw"
"048","AUX","51.2.0",2020,94.298,"I","Q_tlw"
"048","AUX","51.2.0",2021,54.533,"I","Q_tlw"
"048","AUX","51.2.0",2022,79.165,"I","Q_tlw"
"048","AUX","51.2.0",2023,80,"I","Q_tlw"
"048","LIX","51.2.0",1986,0,"A","Q_tlw"
"048","LIX","51.2.0",1987,0,"A","Q_tlw"
"048","LIX","51.2.0",1988,0,"A","Q_tlw"
"048","LIX","51.2.0",1989,0,"A","Q_tlw"
"048","LIX","51.2.0",1990,0,"A","Q_tlw"
"048","LIX","51.2.0",1991,0,"A","Q_tlw"
"048","LIX","51.2.0",1992,0,"A","Q_tlw"
"048","LIX","51.2.0",1993,0,"A","Q_tlw"
"048","LIX","51.2.0",1994,0,"A","Q_tlw"
"048","LIX","51.2.0",1995,0,"A","Q_tlw"
"048","LIX","51.2.0",1996,0,"A","Q_tlw"
"048","LIX","51.2.0",1997,0,"A","Q_tlw"
"048","LIX","51.2.0",1998,0,"A","Q_tlw"
"048","LIX","51.2.0",1999,0,"A","Q_tlw"
"048","LIX","51.2.0",2000,0,"A","Q_tlw"
"048","LIX","51.2.0",2001,0,"A","Q_tlw"
"048","LIX","51.2.0",2002,0,"A","Q_tlw"
"048","LIX","51.2.0",2003,0,"A","Q_tlw"
"048","LIX","51.2.0",2004,0,"A","Q_tlw"
"048","LIX","51.2.0",2005,0,"A","Q_tlw"
"048","LIX","51.2.0",2006,1,"A","Q_tlw"
"048","LIX","51.2.0",2007,1,"A","Q_tlw"
"048","LIX","51.2.0",2008,4,"A","Q_tlw"
"048","LIX","51.2.0",2009,21,"A","Q_tlw"
"048","LIX","51.2.0",2010,6,"A","Q_tlw"
"048","LIX","51.2.0",2011,1,"A","Q_tlw"
"048","LIX","51.2.0",2012,2,"A","Q_tlw"
"048","LIX","51.2.0",2013,4,"A","Q_tlw"
"048","LIX","51.2.0",2014,3,"A","Q_tlw"
"048","LIX","51.2.0",2015,3.047,"I","Q_tlw"
"048","LIX","51.2.0",2016,2.468,"I","Q_tlw"
"048","LIX","51.2.0",2017,3.425,"I","Q_tlw"
"048","LIX","51.2.0",2018,3.24,"I","Q_tlw"
"048","LIX","51.2.0",2019,3.402,"I","Q_tlw"
"048","LIX","51.2.0",2020,2.801,"I","Q_tlw"
"048","LIX","51.2.0",2021,1.62,"I","Q_tlw"
"048","LIX","51.2.0",2022,2.351,"I","Q_tlw"
"048","LIX","51.2.0",2023,2,"I","Q_tlw"
"048","MUM","51.2.0",1986,33,"A","Q_tlw"
"048","MUM","51.2.0",1987,28,"A","Q_tlw"
"048","MUM","51.2.0",1988,22,"A","Q_tlw"
"048","MUM","51.2.0",1989,27,"A","Q_tlw"
"048","MUM","51.2.0",1990,43,"A","Q_tlw"
"048","MUM","51.2.0",1991,94,"A","Q_tlw"
"048","MUM","51.2.0",1992,43,"A","Q_tlw"
"048","MUM","51.2.0",1993,29,"A","Q_tlw"
"048","MUM","51.2.0",1994,85,"A","Q_tlw"
"048","MUM","51.2.0",1995,36,"A","Q_tlw"
"048","MUM","51.2.0",1996,139,"A","Q_tlw"
"048","MUM","51.2.0",1997,65,"A","Q_tlw"
"048","MUM","51.2.0",1998,16,"A","Q_tlw"
"048","MUM","51.2.0",1999,414,"A","Q_tlw"
"048","MUM","51.2.0",2000,82,"A","Q_tlw"
"048","MUM","51.2.0",2001,192,"A","Q_tlw"
"048","MUM","51.2.0",2002,17,"A","Q_tlw"
"048","MUM","51.2.0",2003,75,"A","Q_tlw"
"048","MUM","51.2.0",2004,5,"A","Q_tlw"
"048","MUM","51.2.0",2005,7,"A","Q_tlw"
"048","MUM","51.2.0",2006,2,"A","Q_tlw"
"048","MUM","51.2.0",2007,1,"A","Q_tlw"
"048","MUM","51.2.0",2008,5,"A","Q_tlw"
"048","MUM","51.2.0",2009,171,"A","Q_tlw"
"048","MUM","51.2.0",2010,6,"A","Q_tlw"
"048","MUM","51.2.0",2011,11,"A","Q_tlw"
"048","MUM","51.2.0",2012,5,"A","Q_tlw"
"048","MUM","51.2.0",2013,2,"A","Q_tlw"
"048","MUM","51.2.0",2014,14,"A","Q_tlw"
"048","MUM","51.2.0",2015,14.217,"I","Q_tlw"
"048","MUM","51.2.0",2016,11.515,"I","Q_tlw"
"048","MUM","51.2.0",2017,15.983,"I","Q_tlw"
"048","MUM","51.2.0",2018,15.119,"I","Q_tlw"
"048","MUM","51.2.0",2019,15.877,"I","Q_tlw"
"048","MUM","51.2.0",2020,13.071,"I","Q_tlw"
"048","MUM","51.2.0",2021,7.559,"I","Q_tlw"
"048","MUM","51.2.0",2022,10.973,"I","Q_tlw"
"048","MUM","51.2.0",2023,10,"I","Q_tlw"
"048","MUL","51.2.0",1986,126,"A","Q_tlw"
"048","MUL","51.2.0",1987,11,"A","Q_tlw"
"048","MUL","51.2.0",1988,178,"A","Q_tlw"
"048","MUL","51.2.0",1989,228,"A","Q_tlw"
"048","MUL","51.2.0",1990,144,"A","Q_tlw"
"048","MUL","51.2.0",1991,136,"A","Q_tlw"
"048","MUL","51.2.0",1992,92,"A","Q_tlw"
"048","MUL","51.2.0",1993,270,"A","Q_tlw"
"048","MUL","51.2.0",1994,86,"A","Q_tlw"
"048","MUL","51.2.0",1995,201,"A","Q_tlw"
"048","MUL","51.2.0",1996,99,"A","Q_tlw"
"048","MUL","51.2.0",1997,60,"A","Q_tlw"
"048","MUL","51.2.0",1998,73,"A","Q_tlw"
"048","MUL","51.2.0",1999,10,"A","Q_tlw"
"048","MUL","51.2.0",2000,59,"A","Q_tlw"
"048","MUL","51.2.0",2001,39,"A","Q_tlw"
"048","MUL","51.2.0",2002,29,"A","Q_tlw"
"048","MUL","51.2.0",2003,26,"A","Q_tlw"
"048","MUL","51.2.0",2004,33,"A","Q_tlw"
"048","MUL","51.2.0",2005,15,"A","Q_tlw"
"048","MUL","51.2.0",2006,19,"A","Q_tlw"
"048","MUL","51.2.0",2007,28,"A","Q_tlw"
"048","MUL","51.2.0",2008,103,"A","Q_tlw"
"048","MUL","51.2.0",2009,46,"A","Q_tlw"
"048","MUL","51.2.0",2010,1,"A","Q_tlw"
"048","MUL","51.2.0",2011,1,"A","Q_tlw"
"048","MUL","51.2.0",2012,22,"A","Q_tlw"
"048","MUL","51.2.0",2013,8,"A","Q_tlw"
"048","MUL","51.2.0",2014,11,"A","Q_tlw"
"048","MUL","51.2.0",2015,11.171,"I","Q_tlw"
"048","MUL","51.2.0",2016,9.048,"I","Q_tlw"
"048","MUL","51.2.0",2017,12.558,"I","Q_tlw"
"048","MUL","51.2.0",2018,11.879,"I","Q_tlw"
"048","MUL","51.2.0",2019,12.475,"I","Q_tlw"
"048","MUL","51.2.0",2020,10.27,"I","Q_tlw"
"048","MUL","51.2.0",2021,5.939,"I","Q_tlw"
"048","MUL","51.2.0",2022,8.622,"I","Q_tlw"
"048","MUL","51.2.0",2023,10,"I","Q_tlw"
"048","GPX","51.2.0",1986,1166,"A","Q_tlw"
"048","GPX","51.2.0",1987,994,"A","Q_tlw"
"048","GPX","51.2.0",1988,863,"A","Q_tlw"
"048","GPX","51.2.0",1989,1076,"A","Q_tlw"
"048","GPX","51.2.0",1990,898,"A","Q_tlw"
"048","GPX","51.2.0",1991,626,"A","Q_tlw"
"048","GPX","51.2.0",1992,530,"A","Q_tlw"
"048","GPX","51.2.0",1993,469,"A","Q_tlw"
"048","GPX","51.2.0",1994,498,"A","Q_tlw"
"048","GPX","51.2.0",1995,459,"A","Q_tlw"
"048","GPX","51.2.0",1996,532,"A","Q_tlw"
"048","GPX","51.2.0",1997,300,"A","Q_tlw"
"048","GPX","51.2.0",1998,331,"A","Q_tlw"
"048","GPX","51.2.0",1999,525,"A","Q_tlw"
"048","GPX","51.2.0",2000,670,"A","Q_tlw"
"048","GPX","51.2.0",2001,794,"A","Q_tlw"
"048","GPX","51.2.0",2002,725,"A","Q_tlw"
"048","GPX","51.2.0",2003,811,"A","Q_tlw"
"048","GPX","51.2.0",2004,649,"A","Q_tlw"
"048","GPX","51.2.0",2005,358,"A","Q_tlw"
"048","GPX","51.2.0",2006,462,"A","Q_tlw"
"048","GPX","51.2.0",2007,440,"A","Q_tlw"
"048","GPX","51.2.0",2008,307,"A","Q_tlw"
"048","GPX","51.2.0",2009,176,"A","Q_tlw"
