"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","DIVISION.CODE","PERIOD","VALUE","STATUS","MEASURE"
"024","ILI","47.1.9",2007,15217,"A","Q_tlw"
"024","ILI","47.1.9",2008,17616,"A","Q_tlw"
"024","ILI","47.1.9",2009,8930,"A","Q_tlw"
"024","ILI","47.1.9",2010,8000,"I","Q_tlw"
"024","ILI","47.1.9",2011,7000,"I","Q_tlw"
"024","ILI","47.1.9",2012,6000,"I","Q_tlw"
"024","ILI","47.1.9",2013,5000,"I","Q_tlw"
"024","ILI","47.1.9",2019,0,"A","Q_tlw"
"024","ILI","47.1.9",2023,0,"A","Q_tlw"
"024","FLX","47.1.1",1975,96,"A","Q_tlw"
"024","FLX","47.1.1",1976,229,"A","Q_tlw"
"024","FLX","47.1.1",1977,130,"A","Q_tlw"
"024","FLX","47.1.1",1978,323,"A","Q_tlw"
"024","FLX","47.1.1",1979,27,"A","Q_tlw"
"024","FLX","47.1.1",1980,30,"A","Q_tlw"
"024","FLX","47.1.1",1981,25,"A","Q_tlw"
"024","FLX","47.1.1",1982,55,"A","Q_tlw"
"024","FLX","47.1.1",1983,55,"A","Q_tlw"
"024","FLX","47.1.1",1984,6,"A","Q_tlw"
"024","FLX","47.1.1",1985,27,"A","Q_tlw"
"024","FLX","47.1.1",1986,36,"A","Q_tlw"
"024","FLX","47.1.1",1987,12,"A","Q_tlw"
"024","FLX","47.1.1",1988,13,"A","Q_tlw"
"024","FLX","47.1.1",1989,33,"A","Q_tlw"
"024","FLX","47.1.1",1990,48,"A","Q_tlw"
"024","FLX","47.1.1",1991,18,"A","Q_tlw"
"024","FLX","47.1.1",1992,467,"A","Q_tlw"
"024","FLX","47.1.1",1993,740,"A","Q_tlw"
"024","FLX","47.1.1",1994,346,"A","Q_tlw"
"024","FLX","47.1.1",1995,34,"A","Q_tlw"
"024","FLX","47.1.1",1996,30,"A","Q_tlw"
"024","FLX","47.1.1",1997,28,"A","Q_tlw"
"024","FLX","47.1.1",1998,843,"A","Q_tlw"
"024","FLX","47.1.1",1999,770,"A","Q_tlw"
"024","FLX","47.1.1",2000,343,"A","Q_tlw"
"024","FLX","47.1.1",2001,1474,"A","Q_tlw"
"024","FLX","47.1.1",2002,3279,"A","Q_tlw"
"024","FLX","47.1.1",2003,2052,"A","Q_tlw"
"024","FLX","47.1.2",1975,52,"A","Q_tlw"
"024","FLX","47.1.2",1976,106,"A","Q_tlw"
"024","FLX","47.1.2",1977,63,"A","Q_tlw"
"024","FLX","47.1.2",1978,20,"A","Q_tlw"
"024","FLX","47.1.2",1979,31,"A","Q_tlw"
"024","FLX","47.1.2",1980,15,"A","Q_tlw"
"024","FLX","47.1.2",1981,14,"A","Q_tlw"
"024","FLX","47.1.2",1982,27,"A","Q_tlw"
"024","FLX","47.1.2",1983,27,"A","Q_tlw"
"024","FLX","47.1.2",1984,2,"A","Q_tlw"
"024","FLX","47.1.2",1985,0,"A","Q_tlw"
"024","FLX","47.1.2",1986,1,"A","Q_tlw"
"024","FLX","47.1.2",1987,1,"A","Q_tlw"
"024","FLX","47.1.2",1988,2,"A","Q_tlw"
"024","FLX","47.1.2",1989,0,"A","Q_tlw"
"024","FLX","47.1.2",1990,275,"A","Q_tlw"
"024","FLX","47.1.2",1991,217,"A","Q_tlw"
"024","FLX","47.1.2",1992,0,"A","Q_tlw"
"024","FLX","47.1.2",1993,44,"A","Q_tlw"
"024","FLX","47.1.2",1994,82,"A","Q_tlw"
"024","FLX","47.1.2",1995,63,"A","Q_tlw"
"024","FLX","47.1.2",1996,165,"A","Q_tlw"
"024","FLX","47.1.2",1997,92,"A","Q_tlw"
"024","FLX","47.1.2",1998,85,"A","Q_tlw"
"024","FLX","47.1.2",1999,142,"A","Q_tlw"
"024","FLX","47.1.2",2000,249,"A","Q_tlw"
"024","FLX","47.1.2",2001,454,"A","Q_tlw"
"024","FLX","47.1.2",2002,184,"A","Q_tlw"
"024","FLX","47.1.2",2003,709,"A","Q_tlw"
"024","FLX","47.1.3",1975,0,"A","Q_tlw"
"024","FLX","47.1.3",1976,0,"A","Q_tlw"
"024","FLX","47.1.3",1977,23,"A","Q_tlw"
"024","FLX","47.1.3",1978,25,"A","Q_tlw"
"024","FLX","47.1.3",1979,14,"A","Q_tlw"
"024","FLX","47.1.3",1980,5,"A","Q_tlw"
"024","FLX","47.1.3",1981,1,"A","Q_tlw"
"024","FLX","47.1.3",1982,0,"A","Q_tlw"
"024","FLX","47.1.3",1983,0,"A","Q_tlw"
"024","FLX","47.1.3",1984,0,"A","Q_tlw"
"024","FLX","47.1.3",1985,0,"A","Q_tlw"
"024","FLX","47.1.3",1986,0,"A","Q_tlw"
"024","FLX","47.1.3",1987,0,"A","Q_tlw"
"024","FLX","47.1.3",1988,0,"A","Q_tlw"
"024","FLX","47.1.3",1989,0,"A","Q_tlw"
"024","FLX","47.1.3",1990,0,"A","Q_tlw"
"024","FLX","47.1.3",1991,0,"A","Q_tlw"
"024","FLX","47.1.3",1992,0,"A","Q_tlw"
"024","FLX","47.1.3",1993,0,"A","Q_tlw"
"024","FLX","47.1.3",1994,0,"A","Q_tlw"
"024","FLX","47.1.3",1995,0,"A","Q_tlw"
"024","FLX","47.1.3",1996,0,"A","Q_tlw"
"024","FLX","47.1.3",1997,0,"A","Q_tlw"
"024","FLX","47.1.3",1998,0,"A","Q_tlw"
"024","FLX","47.1.3",1999,0,"A","Q_tlw"
"024","FLX","47.1.3",2000,0,"A","Q_tlw"
"024","FLX","47.1.3",2001,0,"A","Q_tlw"
"024","FLX","47.1.3",2002,0,"A","Q_tlw"
"024","FLX","47.1.3",2003,308,"A","Q_tlw"
"024","FLX","47.1.9",1975,0,"A","Q_tlw"
"024","FLX","47.1.9",1976,0,"A","Q_tlw"
"024","FLX","47.1.9",1977,0,"A","Q_tlw"
"024","FLX","47.1.9",1978,0,"A","Q_tlw"
"024","FLX","47.1.9",1979,0,"A","Q_tlw"
"024","FLX","47.1.9",1980,0,"A","Q_tlw"
"024","FLX","47.1.9",1981,0,"A","Q_tlw"
"024","FLX","47.1.9",1982,0,"A","Q_tlw"
"024","FLX","47.1.9",1983,0,"A","Q_tlw"
"024","FLX","47.1.9",1984,0,"A","Q_tlw"
"024","FLX","47.1.9",1985,0,"A","Q_tlw"
"024","FLX","47.1.9",1986,0,"A","Q_tlw"
"024","FLX","47.1.9",1987,0,"A","Q_tlw"
"024","FLX","47.1.9",1988,0,"A","Q_tlw"
"024","FLX","47.1.9",1989,0,"A","Q_tlw"
"024","FLX","47.1.9",1990,0,"A","Q_tlw"
"024","FLX","47.1.9",1991,0,"A","Q_tlw"
"024","FLX","47.1.9",1992,0,"A","Q_tlw"
"024","FLX","47.1.9",1993,0,"A","Q_tlw"
"024","FLX","47.1.9",1994,0,"A","Q_tlw"
"024","FLX","47.1.9",1995,0,"A","Q_tlw"
"024","FLX","47.1.9",1996,0,"A","Q_tlw"
"024","FLX","47.1.9",1997,0,"A","Q_tlw"
"024","FLX","47.1.9",1998,0,"A","Q_tlw"
"024","FLX","47.1.9",1999,0,"A","Q_tlw"
"024","FLX","47.1.9",2000,0,"A","Q_tlw"
"024","FLX","47.1.9",2001,0,"A","Q_tlw"
"024","FLX","47.1.9",2002,0,"A","Q_tlw"
"024","FLX","47.1.9",2003,0,"A","Q_tlw"
"024","FLX","47.1.9",2004,2636,"A","Q_tlw"
"024","FLX","47.1.9",2005,2000,"I","Q_tlw"
"024","FLX","47.1.9",2006,1336,"A","Q_tlw"
"024","FLX","47.1.9",2007,12275,"A","Q_tlw"
"024","FLX","47.1.9",2008,3762,"A","Q_tlw"
"024","FLX","47.1.9",2009,3479,"A","Q_tlw"
"024","FLX","47.1.9",2010,3800,"I","Q_tlw"
"024","FLX","47.1.9",2011,4100,"I","Q_tlw"
"024","FLX","47.1.9",2012,4400,"I","Q_tlw"
"024","FLX","47.1.9",2013,4700,"I","Q_tlw"
"024","FLX","47.1.9",2014,4974,"A","Q_tlw"
"024","FLX","47.1.9",2015,839,"A","Q_tlw"
"024","FLX","47.1.9",2016,4000,"I","Q_tlw"
"024","FLX","47.1.9",2017,17123,"A","Q_tlw"
"024","FLX","47.1.9",2018,32714,"A","Q_tlw"
"024","FLX","47.1.9",2019,12456,"A","Q_tlw"
"024","FLX","47.1.9",2020,15033,"A","Q_tlw"
"024","FLX","47.1.9",2021,26287,"A","Q_tlw"
"024","FLX","47.1.9",2022,27537,"A","Q_tlw"
"024","FLX","47.1.9",2023,28005,"A","Q_tlw"
"024","SOW","47.1.9",1975,0,"A","Q_tlw"
"024","SOW","47.1.9",1976,0,"A","Q_tlw"
