Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas araneus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Nemaster rubiginosa,Nemaster,Comasteridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,1.0
Nemaster discoidea,Nemaster,Comasteridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,1.0
Comactinia echinoptera,Comactinia,Comasteridae,Comatulida,Crinoidea,Crinoidea,Echinodermata,,2.0,1.0
Cenocrinus asterius,Cenocrinus,Bathycrinidae,Bourgueticrinida,Crinoidea,Crinoidea,Echinodermata,,0.0,1.0
Democrinus conifer,Democrinus,Bathycrinidae,Bourgueticrinida,Crinoidea,Crinoidea,Echinodermata,,0.0,1.0
Holopus rangii,Holopus,Bathycrinidae,Bourgueticrinida,Crinoidea,Crinoidea,Echinodermata,,0.0,1.0
Chionoecetes bairdi,Chionoecetes,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.21952,1.0,3.0
Chionoecetes bairdi,Chionoecetes,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,2.3235,1.0,3.0
Artemisina apolloni,Artemisina,Anchinoidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Artemisina plumosa,Artemisina,Anchinoidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Cinachyra antarctica,Cinachyra,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Cinachyra barbata,Cinachyra,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Desmacidon ramosa,Desmacidon,Desmacidionidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Ectyodoryx ramilobosa,Ectyodoryx,Poecilosclerida,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Gellius rudis,Gellius,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Haliclona cf. gaussiana,Haliclona,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Hemigellius flagellifer,Hemigellius,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Iophon spatulatus,Iophon,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya cavicornuta,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya erinacea,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya toxophila,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Latrunculia apicalis,Latrunculia,Latrunculiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Monosyringa sp.,Monosyringa,Choristida,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Mycale acerata,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Myxodoryx hanitschi,Myxodoryx,Poecilosclerida,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Phorbas glaberrima,Phorbas,Phorbasidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Polymastia invaginata,Polymastia,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Polymastia isidis,Polymastia,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Pseudosuberites nudus,Pseudosuberites,Suberitidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Rhabdocalyptus spinosus,Rhabdocalyptus,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella fibulata,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella nuda,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella racovitzae,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella vanhoeffni,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Rossella villosa,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Scolymastra joubini,Scolymastra,Hexasterophora,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,,0.0,1.0
Suberites sp.,Suberites,Suberitidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania oxeata,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania tantula,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania triraphis,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tedania vanhoeffeni,Tedania,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tentorium papillatum,Tentorium,Suberitidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tetilla leptoderma,Tetilla,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tetilla sp.,Tetilla,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Xestospongia cf. coralloides,Xestospongia,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Calyx arcuarius,Calyx,Poecilosclerida,Poecilosclerida,Demospongiae,Demospongiae,Porifera,1.17624,0.0,1.0
Cinachyra antarctica,Cinachyra,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,1.711464,0.0,1.0
Dendrilla membranosa,Dendrilla,Dysideidae,Dendroceratida,Demospongiae,Demospongiae,Porifera,2.018744,0.0,1.0
Gellius tenella,Gellius,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Haliclona dancoi,Haliclona,Haliclonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,0.6622439999999999,0.0,1.0
Homaxonella sp.,Homaxonella,Demospongiae,Demospongiae,Demospongiae,Demospongiae,Porifera,1.067814,0.0,1.0
Inflatella belli,Inflatella,Coelosphaeridae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Isodictya erinacea,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,0.8344799999999999,0.0,1.0
Isodictya setifera,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Kirkpatrickia variolosa,Kirkpatrickia,Myxillidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,1.014401,0.0,1.0
Latrunculia apicalis,Latrunculia,Latrunculiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Leucetta leptorhapsis,Leucetta,Leucascidae,Leucettida,Calcarea,Calcarea,Porifera,0.7025560000000001,0.0,1.0
Mycale acerata,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Pachychalina peduncuiata,Pachychalina,Haplosclerida,Haplosclerida,Demospongiae,Demospongiae,Porifera,0.851816,0.0,1.0
Polymastia invaginata,Polymastia,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,1.08454,0.0,1.0
Rossella racovitzae,Rossella,Rossellidae,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,0.36376,0.0,1.0
Scolymastra joubini,Scolymastra,Hexasterophora,Hexasterophora,Hexasterophora,Hyalospongia,Porifera,0.6512,0.0,1.0
Sphaerotylus anarcticus,Sphaerotylus,Polymastiidae,Hadromerida,Demospongiae,Demospongiae,Porifera,0.892476,0.0,1.0
Tetilla leptoderma,Tetilla,Tetillidae,Choristida,Demospongiae,Demospongiae,Porifera,1.113399,0.0,1.0
Isodictya kerguelensis,Isodictya,Demascidonidae,Haplosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
