Year,FG_num,FG_name,mean_density,n_areas_contributing,n_samples_total
1994,64,Bivalves,0.0275260350230741,4,139
1994,61,Benthopelagic cephalopods,0.0546364985095851,7,517
1994,44,Flatfishes,0.23684497645171,7,513
1994,74,Non-commercial decapods,0.138558559892859,7,493
1994,65,Gastropods,0.00149976882876343,4,271
1994,35,Sparidae+,0.830341253416797,7,517
1994,53,No commercial small demersal fish,0.42726314788203,7,493
1994,28,European conger,0.0234790148503882,7,477
1994,63,Other benthic cephalopods,0.122144320632801,7,517
1994,40,Scorpaenidae+,0.164368490339312,7,517
1994,27,Anglerfish,0.1412036390213,7,489
1994,29,European hake juv.,0.372396548261416,7,517
1994,50,Red mullet,0.0976081175001587,7,423
1994,51,Surmullet,0.0145267672122784,7,487
1994,60,Coastal benthic cephalopods,0.080144285790058,7,355
1994,46,No commercial medium demersal fish,0.0818650604888551,7,432
1994,34,Common pandora,0.0480454023997288,7,344
1994,58,Rays and skates,0.210116459104053,7,481
1994,19,European sardine adult,2.52393148460052,7,349
1994,16,Mackerels,0.20924867097759,5,123
1994,55,Small-spotted catshark,0.0700058046522229,7,456
1994,43,Labridae and serranidae+,0.0489748717037652,7,462
1994,24,Other small pelagic fish,1.14662874085968,7,354
1994,73,Other commercial decapods,0.00583531907088117,7,326
1994,17,Horse mackerels,1.76937871976097,7,517
1994,45,Other commercial medium demersal fish,0.0876015899722344,7,507
1995,61,Benthopelagic cephalopods,0.0702404966926061,8,535
1995,64,Bivalves,0.0789097804455886,5,176
1995,74,Non-commercial decapods,0.153530695166149,8,535
1995,44,Flatfishes,0.381882821498191,8,540
1995,35,Sparidae+,0.593211266837314,8,540
1995,53,No commercial small demersal fish,0.136038800705466,8,540
1995,28,European conger,0.0220387020939806,8,509
1995,63,Other benthic cephalopods,0.120504003227708,8,540
1995,29,European hake juv.,0.29429121716923,8,540
1995,50,Red mullet,0.0812737054223664,7,480
1995,60,Coastal benthic cephalopods,0.0831647633614065,7,408
1995,65,Gastropods,0.0177003960731215,5,281
1995,19,European sardine adult,2.4890132731572,8,305
1995,40,Scorpaenidae+,0.242985026196348,8,540
1995,55,Small-spotted catshark,0.0725134874385013,8,473
1995,43,Labridae and serranidae+,0.0781999813696821,8,430
1995,73,Other commercial decapods,0.00937399070862032,7,307
1995,59,Torpedos,0.0254355635381488,7,280
1995,17,Horse mackerels,3.10145723000362,8,540
1996,61,Benthopelagic cephalopods,0.056924455183085,8,554
1996,44,Flatfishes,0.226317458451629,8,554
1996,74,Non-commercial decapods,0.125545089405386,8,509
1996,65,Gastropods,0.0021776840959074,4,266
1996,53,No commercial small demersal fish,0.206282493184509,8,554
1996,35,Sparidae+,0.849531418707881,8,554
1996,28,European conger,0.0927280294115937,8,537
1996,37,Common two-banded seabream,0.0437039331099851,3,83
1996,63,Other benthic cephalopods,0.0935846646622167,8,554
1996,27,Anglerfish,0.161948591345351,8,522
1996,73,Other commercial decapods,0.0115344091309112,7,456
1996,29,European hake juv.,0.324248747409783,8,554
1996,64,Bivalves,0.020311963846754,4,142
1996,50,Red mullet,0.0933515961773218,7,435
1996,51,Surmullet,0.0164818844175598,8,544
1996,60,Coastal benthic cephalopods,0.0792200296370253,7,435
1996,46,No commercial medium demersal fish,0.0454449533381033,8,478
1996,34,Common pandora,0.0515569764913047,7,305
1996,77,Sea cucumbers,0.00378467911521657,3,105
1996,58,Rays and skates,0.21488884628134,8,487
1996,16,Mackerels,0.101749734789429,5,261
1996,40,Scorpaenidae+,0.202130866339454,8,554
1996,55,Small-spotted catshark,0.0917585898215907,8,492
1996,43,Labridae and serranidae+,0.0576688740832384,7,467
1996,24,Other small pelagic fish,0.409989303320992,7,381
1996,17,Horse mackerels,1.77776032046717,8,554
1997,74,Non-commercial decapods,0.183049253274047,8,521
1997,61,Benthopelagic cephalopods,0.063600629513534,8,547
1997,49,Transparent gobies,0.0205502539335737,4,104
1997,44,Flatfishes,0.205153752046315,8,547
1997,64,Bivalves,0.00990265629309988,4,167
1997,53,No commercial small demersal fish,0.16376485592158,8,545
1997,35,Sparidae+,0.653754018077784,8,547
1997,65,Gastropods,0.00341348720216884,3,250
1997,37,Common two-banded seabream,0.0132141899307267,5,198
1997,63,Other benthic cephalopods,0.0930194770514147,8,547
1997,25,Benthopelagic fishes,0.229007670901674,8,480
1997,40,Scorpaenidae+,0.145093914179548,8,547
1997,27,Anglerfish,0.17576876370942,8,532
1997,29,European hake juv.,0.332919277321154,8,545
1997,50,Red mullet,0.0598246532762514,7,443
1997,51,Surmullet,0.0184722207762963,7,446
1997,60,Coastal benthic cephalopods,0.10094902724042,7,373
1997,46,No commercial medium demersal fish,0.0772881596213737,7,399
1997,34,Common pandora,0.050285700264841,7,260
1997,77,Sea cucumbers,0.00557204395526037,4,253
1997,19,European sardine adult,3.91343432910256,7,291
1997,16,Mackerels,1.28479148912674,5,273
1997,43,Labridae and serranidae+,0.0578928562725171,7,370
1997,24,Other small pelagic fish,0.59536506762334,7,378
1997,73,Other commercial decapods,0.00807915501862812,7,359
1997,59,Torpedos,0.00978665139300754,6,484
1997,17,Horse mackerels,1.04024771156245,8,547
1998,74,Non-commercial decapods,0.17507537173078,8,509
1998,61,Benthopelagic cephalopods,0.0673998432454404,8,547
1998,18,Other medium pelagic fishes,0.106240290794385,5,109
1998,43,Labridae and serranidae+,0.0583826693728374,7,441
1998,44,Flatfishes,0.167370792270689,8,547
1998,65,Gastropods,0.00250291370396543,4,253
1998,35,Sparidae+,0.864145642646143,8,547
1998,53,No commercial small demersal fish,0.167830612931723,8,547
1998,28,European conger,0.0288664617143301,8,537
1998,37,Common two-banded seabream,0.0117800042364825,5,144
1998,46,No commercial medium demersal fish,0.0642501099758573,7,357
1998,63,Other benthic cephalopods,0.119769862234558,8,547
1998,40,Scorpaenidae+,0.152139803027557,8,547
1998,27,Anglerfish,0.111821965683604,8,526
1998,29,European hake juv.,0.39178765590164,8,547
1998,64,Bivalves,0.0542206527540598,3,129
1998,50,Red mullet,0.158434655214415,7,401
1998,51,Surmullet,0.0284325701607192,7,461
1998,60,Coastal benthic cephalopods,0.0735522346345388,7,454
1998,77,Sea cucumbers,0.00387566486938788,4,144
1998,45,Other commercial medium demersal fish,0.0919367443185966,8,547
1998,58,Rays and skates,0.242555125510531,8,508
1998,23,Round sardinella,0.128821369180766,5,126
1998,55,Small-spotted catshark,0.0619217355938673,8,472
1998,24,Other small pelagic fish,0.801725841525946,7,363
1998,59,Torpedos,0.0183446973718359,5,390
1998,17,Horse mackerels,1.86664696293361,8,537
1999,61,Benthopelagic cephalopods,0.0836998253280388,8,563
1999,49,Transparent gobies,0.0294777109845788,4,108
1999,44,Flatfishes,0.19754855348756,8,563
1999,74,Non-commercial decapods,0.125618481069061,8,543
1999,53,No commercial small demersal fish,0.294916060445385,8,563
1999,35,Sparidae+,0.67644124038534,8,560
1999,28,European conger,0.0276522512616475,8,522
1999,65,Gastropods,0.000502440722062177,4,272
1999,63,Other benthic cephalopods,0.0959361597452251,8,563
1999,21,European anchovy juv.,1.74234013240649,7,337
1999,40,Scorpaenidae+,0.190379130165309,8,563
1999,27,Anglerfish,0.131828406831249,8,558
1999,29,European hake juv.,0.597532815003205,7,559
1999,64,Bivalves,0.00369900857441292,4,207
1999,50,Red mullet,0.114436651578962,7,436
1999,60,Coastal benthic cephalopods,0.141015111109749,8,456
1999,46,No commercial medium demersal fish,0.0541373371600744,8,413
1999,43,Labridae and serranidae+,0.0675730672955745,8,432
1999,24,Other small pelagic fish,0.296523214955064,8,431
1999,73,Other commercial decapods,0.00670269410735257,7,365
1999,17,Horse mackerels,1.84099821477482,8,563
2000,61,Benthopelagic cephalopods,0.135551432846366,7,560
2000,49,Transparent gobies,0.0380457287295074,4,124
2000,44,Flatfishes,0.262903374534355,7,560
2000,74,Non-commercial decapods,0.143038208099051,7,522
2000,64,Bivalves,0.00890864066102326,4,198
2000,65,Gastropods,0.000986635248051947,4,271
2000,53,No commercial small demersal fish,0.129916229890173,7,560
2000,35,Sparidae+,1.04949644375476,7,560
2000,21,European anchovy juv.,1.61992243257942,7,290
2000,29,European hake juv.,0.380700777949527,7,560
2000,50,Red mullet,0.0912268648799138,7,455
2000,60,Coastal benthic cephalopods,0.182847157143376,7,405
2000,34,Common pandora,0.0592557806898068,7,375
2000,58,Rays and skates,0.179278148644947,7,542
2000,63,Other benthic cephalopods,0.103724413781055,7,560
2000,19,European sardine adult,2.28832025437249,7,285
2000,16,Mackerels,0.110373822908509,5,213
2000,40,Scorpaenidae+,0.174379371005628,7,560
2000,55,Small-spotted catshark,0.156587041840502,7,474
2000,43,Labridae and serranidae+,0.0812994618706662,7,391
2000,24,Other small pelagic fish,0.470439120111786,7,437
2000,73,Other commercial decapods,0.00661924821142187,6,392
2000,46,No commercial medium demersal fish,0.0934792513255724,7,416
2000,45,Other commercial medium demersal fish,0.0955089666217642,7,560
2000,17,Horse mackerels,1.9859317031781,7,560
2001,61,Benthopelagic cephalopods,0.0679910739297373,8,571
2001,49,Transparent gobies,0.0456232729426917,3,99
2001,44,Flatfishes,0.31727153898343,8,571
2001,35,Sparidae+,1.44888976453649,8,571
