ScientificName,AreaID,Year,SampleID,flagged_density,typical_density,robust_z,was_dropped
Rhodophyllis spp.,6,2016,ESP_6_MOL_2016_73_5_12,4.35818428767972,0.000112692309426036,15980.1028983103,FALSE
Glossanodon leioglossus,1,2017,ESP_1_MOL_2017_60_5_8,41.3232577275308,0.000221288935053292,15378.9759658241,FALSE
Turritella spp.,6,1995,ESP_6_COR_1995_96_5_19,1.94536900132659,8.48442683454519e-05,11274.7727231596,FALSE
Glossanodon leioglossus,1,2019,ESP_1_MOL_2019_59_5_12,6.92722061944671,0.000221288935053292,8500.60014118753,FALSE
Glossanodon leioglossus,1,2015,ESP_1_MOL_2015_70_5_9,5.33515488685927,0.000221288935053292,7579.99161008266,FALSE
Glossanodon leioglossus,1,2006,ESP_1_COR_2006_45_5_15,3.45432509580791,0.000221288935053292,6133.55541548055,FALSE
Plesionika narval,5,2011,ESP_5_COR_2011_149_6_16,0.782609105033295,0.000182222794442916,5926.86606613177,FALSE
Plesionika narval,5,2016,ESP_5_MOL_2016_208_6_16,0.77967521611408,0.000182222794442916,5909.97252472303,FALSE
Plesionika narval,1,2018,ESP_1_MOL_2018_61_5_12,1.724479549421,0.000269329750527731,4520.23524569574,FALSE
Meganyctiphanes norvegica,6,2003,ESP_6_COR_2003_43_5_5,24.0791125810882,0.000994311173877226,4301.78017196171,FALSE
Plesionika narval,6,2017,ESP_6_MOL_2017_104_5_20,1.0764491921571,0.000239463808328515,4154.4087911818,FALSE
Osmundaria volubilis,6,2012,ESP_6_COR_2012_42_5_7,1.24183535398489,0.000157764477355867,3944.95258117814,FALSE
Leptometra phalangium,6,2015,ESP_6_MOL_2015_142_5_28,6.75008842910606,0.000389777734978654,3756.9542441742,FALSE
Antedon spp.,7,2014,FRA_7_LEU_2014_65_6_18,1.20239380849532,0.000203592272542189,3195.86000147854,FALSE
Leptometra phalangium,6,2015,ESP_6_MOL_2015_135_5_27,4.10677368357047,0.000389777734978654,2991.48200696745,FALSE
Antedon mediterranea,6,2012,ESP_6_COR_2012_107_5_22,0.273851907793002,7.52686148693149e-05,2983.87320058476,FALSE
Meganyctiphanes norvegica,6,1998,ESP_6_COR_1998_49_5_19,8.03536587757801,0.000994311173877226,2938.35791764012,FALSE
Osmundaria volubilis,6,2012,ESP_6_COR_2012_40_5_7,0.776678920934086,0.000157764477355867,2808.34903454057,FALSE
Antedon mediterranea,6,2014,ESP_6_MOL_2014_128_5_26,0.251819854411647,7.52686148693149e-05,2768.72493908083,FALSE
Calocaris macandreae,6,2006,ESP_6_COR_2006_90_5_29,0.469355681340492,0.000191045863769168,2712.16450770947,FALSE
Glossanodon leioglossus,6,1996,ESP_6_COR_1996_56_5_15,28.1192018495123,0.000917810349368971,2670.73863070658,FALSE
Glossanodon leioglossus,6,2016,ESP_6_MOL_2016_138_5_28,24.7756602017071,0.000917810349368971,2574.09293263037,FALSE
Pasiphaea sivado,5,2005,ESP_5_COR_2005_56_5_22,3.26109694927199,0.000528464107325564,2413.18316237811,FALSE
Glossanodon leioglossus,1,2018,ESP_1_MOL_2018_65_5_13,0.765169782669476,0.000221288935053292,2332.54549594915,FALSE
Antedon mediterranea,6,2014,ESP_6_MOL_2014_127_5_26,0.20662347012239,7.52686148693149e-05,2315.26264099362,FALSE
Eusergestes arcticus,9,2021,ITA_9_SAN_2021_67_9_20,115.441874554394,0.00161162749267604,2309.6479952905,FALSE
Leptometra phalangium,6,2015,ESP_6_MOL_2015_163_6_2,2.44142067783589,0.000389777734978654,2267.21240663219,FALSE
Maurolicus muelleri,1,2003,ESP_1_COR_2003_136_5_25,5.28393023789594,0.000675115295152837,2212.2587574461,FALSE
Meganyctiphanes norvegica,1,1999,ESP_1_COR_1999_2_5_4,4.88953648083168,0.00104855031208632,2132.8602872664,FALSE
Antedon mediterranea,6,2014,ESP_6_MOL_2014_129_5_26,0.18633803413374,7.52686148693149e-05,2106.18490148975,FALSE
Plesionika narval,6,2015,ESP_6_MOL_2015_97_5_18,0.442190636414796,0.000239463808328515,2081.26460227292,FALSE
Antedon spp.,7,2014,FRA_7_LEU_2014_33_6_9,0.65454232837314,0.000203592272542189,2037.82954411041,FALSE
Glossanodon leioglossus,6,2021,ESP_6_MOL_2021_160_6_3,11.2549381900281,0.000917810349368971,1984.94883957943,FALSE
Leptopentacta tergestina,6,2016,ESP_6_MOL_2016_132_5_26,0.244764126978153,0.000122458976242959,1939.07513042497,FALSE
Leptometra phalangium,6,2013,ESP_6_COR_2013_115_6_6,1.76282579327161,0.000389777734978654,1864.17649467594,FALSE
Leptopentacta tergestina,6,2018,ESP_6_MOL_2018_120_5_28,0.233221870673324,0.000122458976242959,1856.52353484914,FALSE
Leptometra phalangium,6,2016,ESP_6_MOL_2016_167_6_3,1.71067620162643,0.000389777734978654,1829.2077452352,FALSE
Glossanodon leioglossus,6,2003,ESP_6_COR_2003_72_5_11,8.35097960715867,0.000917810349368971,1770.64836343819,FALSE
Antedon mediterranea,6,2012,ESP_6_COR_2012_101_5_21,0.152679007654308,7.52686148693149e-05,1751.25147348165,FALSE
Gennadas elegans,1,1994,ESP_1_COR_1994_28_6_4,0.0562092448939563,0.000116594788062986,1708.98663731066,FALSE
Meganyctiphanes norvegica,5,2013,ESP_5_COR_2013_149_6_16,0.684456093523728,0.000707695577402596,1591.55643448424,FALSE
Glossanodon leioglossus,1,2021,ESP_1_MOL_2021_61_5_11,0.466489029996511,0.000221288935053292,1571.31684525215,FALSE
Leptometra phalangium,6,2015,ESP_6_MOL_2015_133_5_27,1.34751410331386,0.000389777734978654,1565.24989411441,FALSE
Glossanodon leioglossus,6,2020,ESP_6_MOL_2020_45_6_8,5.94374616300464,0.000917810349368971,1534.80132993872,FALSE
Plesionika narval,1,2007,ESP_1_COR_2007_34_5_26,0.388842981435574,0.000269329750527731,1480.57579871421,FALSE
Tethys fimbria,10,2016,ITA_10_PEC_2016_58_9_8,1.99443154712044,0.000609102426664068,1449.99390785035,FALSE
Antedon mediterranea,6,2014,ESP_6_MOL_2014_126_5_26,0.122983102528268,7.52686148693149e-05,1429.39503587367,FALSE
Eusergestes arcticus,6,2006,ESP_6_COR_2006_66_5_21,1.53979432773835,0.000587181131286655,1354.19708114386,FALSE
Antedon mediterranea,6,2012,ESP_6_COR_2012_119_5_25,0.115786640831046,7.52686148693149e-05,1350.11572915801,FALSE
Molgula spp.,6,2014,ESP_6_MOL_2014_163_6_2,2.08903287736981,0.000627424960875445,1334.41410104646,FALSE
Glossanodon leioglossus,6,2008,ESP_6_COR_2008_69_5_22,4.22375721399701,0.000917810349368971,1309.26740960844,FALSE
Ocnus planci,1,2019,ESP_1_MOL_2019_14_5_1,0.809369212936238,0.000372647705089385,1277.44267121145,FALSE
Benthosema glaciale,1,1999,ESP_1_COR_1999_2_5_4,0.315852324906798,0.00020348813168964,1264.40730350056,FALSE
Plesionika narval,6,1998,ESP_6_COR_1998_77_5_28,0.248491816195375,0.000239463808328515,1260.94501021044,FALSE
Xenophora crispa,6,2015,ESP_6_MOL_2015_159_6_1,2.85189280874026,0.000872529846171111,1249.82911805691,FALSE
Meganyctiphanes norvegica,1,1998,ESP_1_COR_1998_1_5_3,1.80133331504634,0.00104855031208632,1238.51827361829,FALSE
Leptometra phalangium,6,2013,ESP_6_COR_2013_109_6_5,0.929567393636038,0.000389777734978654,1205.46511142479,FALSE
Turritella spp.,6,1995,ESP_6_COR_1995_93_5_18,0.117081379496471,8.48442683454519e-05,1154.82113881965,FALSE
Glossanodon leioglossus,6,2020,ESP_6_MOL_2020_6_5_31,3.29603118719011,0.000917810349368971,1154.33490635199,FALSE
Molgula spp.,7,2013,FRA_7_LEU_2013_59_6_14,3.58462150146387,0.00121270919233568,1147.99233391685,FALSE
Leptometra phalangium,6,2016,ESP_6_MOL_2016_140_5_28,0.85471040400429,0.000389777734978654,1132.85663378843,FALSE
Antedon spp.,7,2013,FRA_7_LEU_2013_40_6_9,0.32148946652235,0.000203592272542189,1127.80834897432,FALSE
Glossanodon leioglossus,6,2009,ESP_6_COR_2009_63_4_24,3.12012443822078,0.000917810349368971,1121.20642156884,FALSE
Maurolicus muelleri,1,1999,ESP_1_COR_1999_2_5_4,1.53763142864916,0.000675115295152837,1120.45283027906,FALSE
Crystallogobius linearis,6,1999,ESP_6_COR_1999_117_6_3,0.0257187233921119,0.000142795871678836,1110.32763092766,FALSE
