ScientificName,mean_biomass,n_appearances,Genus,Family,Order,Class,Phylum
Merlangius merlangus,0.00111241567128524,2093,Merlangius,Gadidae,Gadiformes,Teleostei,Chordata
Codium bursa,0.013778849117175,623,Codium,Codiaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Sea ball of Posidonia oceanica,0.0025374364640884,543,,,,,
Scalpellum scalpellum,8.7832310838446e-06,489,Scalpellum,Scalpellidae,Scalpellomorpha,Thecostraca,Arthropoda
Gryphus vitreus,0.000697035476718402,451,Gryphus,Terebratulidae,Terebratulida,Rhynchonellata,Brachiopoda
Meganyctiphanes norvegica,0.000511081264108353,443,Meganyctiphanes,Euphausiidae,Euphausiacea,Malacostraca,Arthropoda
Xenophora crispa,0.000714912568306011,366,,,,,
Osmundaria volubilis,0.0479063818181818,275,Osmundaria,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Lophogaster typicus,5.09313725490198e-06,204,Lophogaster,Lophogastridae,Lophogastrida,Malacostraca,Arthropoda
Shell drebis,0.00285644,175,,,,,
Phyllophora crispa,0.0115094516129032,155,Phyllophora,Phyllophoraceae,Gigartinales,Florideophyceae,Rhodophyta
Leaves of Posidonia oceanica,0.0489347755102041,147,,,,,
Natatolana borealis,4.44852941176472e-06,136,Natatolana,Cirolanidae,Isopoda,Malacostraca,Arthropoda
Spongites fruticulosa,0.0105705808823529,136,Spongites,Spongitidaceae,Corallinales,Florideophyceae,Rhodophyta
Lithothamnion valens,0.00857229850746269,134,Lithothamnion,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta
Isopoda,2.89320388349514e-06,103,,,Isopoda,Malacostraca,Arthropoda
Corallinaceae,0.01703617,100,,Corallinaceae,Corallinales,Florideophyceae,Rhodophyta
Peyssonnelia spp.,0.0401147282608696,92,Peyssonnelia,Peyssonneliaceae,Peyssonneliales,Florideophyceae,Rhodophyta
Flabellia petiolata,0.00337656666666667,90,Flabellia,Halimedaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Phymatolithon calcareum,0.00383228169014085,71,Phymatolithon,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta
Pomatomus saltatrix,0.000615470588235294,68,Pomatomus,Pomatomidae,Scombriformes,Teleostei,Chordata
Rytiphlaea tinctoria,0.00315389705882353,68,Rytiphlaea,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Sphaerococcus coronopifolius,0.000237266666666667,60,Sphaerococcus,Sphaerococcaceae,Gigartinales,Florideophyceae,Rhodophyta
Lithothamnion corallioides,0.00259287719298246,57,Lithothamnion,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta
Maja goltziana,6.92105263157895e-05,57,,,,,
Nemastoma marginatum,0.0012520350877193,57,Nemastoma,Nemastomataceae,Nemastomatales,Florideophyceae,Rhodophyta
Sepia spp.,3.69964285714286e-05,56,Sepia,Sepiidae,Sepiida,Cephalopoda,Mollusca
Codium vermilara,0.00161312727272727,55,Codium,Codiaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Cryptonemia tunaeformis,0.000643384615384615,52,Cryptonemia,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta
Palmophyllum crassum,0.00118370588235294,51,Palmophyllum,Palmophyllaceae,Palmophyllales,Palmophyllophyceae,Prasinodermatophyta
Gracilaria corallicola,0.00270326,50,Gracilaria,Gracilariaceae,Gracilariales,Florideophyceae,Rhodophyta
Valonia macrophysa,0.00077586,50,Valonia,Valoniaceae,Cladophorales,Ulvophyceae,Chlorophyta
Gloiocladia microspora,0.000851102040816327,49,Gloiocladia,Faucheaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Halopithys incurva,0.00705776595744681,47,Halopithys,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Pseudaphya ferreri,3.76578947368421e-05,38,Pseudaphya,Gobiidae,Gobiiformes,Teleostei,Chordata
Rhodymeniaceae,0.0216304594594595,37,,Rhodymeniaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Peyssonnelia rosa-marina,0.0124466111111111,36,Peyssonnelia,Peyssonneliaceae,Peyssonneliales,Florideophyceae,Rhodophyta
Gloiocladia repens,0.0007368125,32,Gloiocladia,Faucheaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Phyllophora herediae,0.00180216666666667,30,Phyllophora,Phyllophoraceae,Gigartinales,Florideophyceae,Rhodophyta
Stephanolepis diaspros,0.000167,28,Stephanolepis,Monacanthidae,Tetraodontiformes,Teleostei,Chordata
Saurida undosquamis,0.000274384615384615,26,Saurida,Harpadontidae,Aulopiformes,Teleostei,Chordata
Umbraulva olivascens,0.000133846153846154,26,Umbraulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta
Delesseriaceae,6.924e-05,25,,Delesseriaceae,Ceramiales,Florideophyceae,Rhodophyta
Dussumieria elopsoides,0.000320041666666667,24,Dussumieria,Dussumieriidae,Clupeiformes,Teleostei,Chordata
Octopoteuthis sicula,0.000144541666666667,24,Octopoteuthis,Octopoteuthidae,Oegopsida,Cephalopoda,Mollusca
Lithophyllum racemus,0.00108095454545454,22,Lithophyllum,Lithophyllaceae,Corallinales,Florideophyceae,Rhodophyta
Pyroteuthis margaritifera,5.13181818181818e-05,22,Pyroteuthis,Pyroteuthidae,Oegopsida,Cephalopoda,Mollusca
Polysiphonia subulifera,0.00760095238095238,21,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Gracilaria spp.,0.00556455555555556,18,Gracilaria,Gracilariaceae,Gracilariales,Florideophyceae,Rhodophyta
Chylocladia verticillata,0.000697,16,Chylocladia,Champiaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Gloiocladia furcata,7.51333333333333e-05,15,Gloiocladia,Faucheaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Dentaliidae,4.71428571428571e-06,14,,Dentaliidae,Dentaliida,Scaphopoda,Mollusca
Fistularia commersonii,0.000221785714285714,14,Fistularia,Fistulariidae,Syngnathiformes,Teleostei,Chordata
Kallymenia spp.,0.000917615384615384,13,Kallymenia,Kallymeniaceae,Gigartinales,Florideophyceae,Rhodophyta
Polysiphonia elongata,0.00607507692307692,13,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Euphausiidae,0.00112158333333333,12,,Euphausiidae,Euphausiacea,Malacostraca,Arthropoda
Ulva spp.,0.00016775,12,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta
Lepas anatifera,1.53636363636364e-05,11,Lepas,Lepadidae,Scalpellomorpha,Thecostraca,Arthropoda
Laurencia chondrioides,0.0001971,10,Laurencia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Ancistrocheirus lesueurii,0.000486777777777778,9,Ancistrocheirus,Ancistrocheiridae,Oegopsida,Cephalopoda,Mollusca
Eupogodon planus,0.000280222222222222,9,Eupogodon,Delesseriaceae,Ceramiales,Florideophyceae,Rhodophyta
Halymenia spp.,0.000839888888888889,9,Halymenia,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta
Valonia utricularis,0.000592888888888889,9,Valonia,Valoniaceae,Cladophorales,Ulvophyceae,Chlorophyta
Aspidosiphon muelleri muelleri,1e-06,8,,,,,
Botryocladia madagascariensis,0.007628125,8,Botryocladia,Rhodymeniaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Chiton spp.,5.125e-06,8,Chiton,Chitonidae,Chitonida,Polyplacophora,Mollusca
Euphausiacea,1.8375e-05,8,,,Euphausiacea,Malacostraca,Arthropoda
Trachipterus trachypterus,0.000665375,8,Trachipterus,Trachipteridae,Lampriformes,Teleostei,Chordata
Lithophyllum spp.,0.311505714285714,7,Lithophyllum,Lithophyllaceae,Corallinales,Florideophyceae,Rhodophyta
Lithothamnion minervae,0.00337557142857143,7,Lithothamnion,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta
Rhodophyllis spp.,0.0283351428571429,7,Rhodophyllis,Cystocloniaceae,Gigartinales,Florideophyceae,Rhodophyta
Valonia spp.,0.000368571428571429,7,Valonia,Valoniaceae,Cladophorales,Ulvophyceae,Chlorophyta
Priapulidae,1.55e-05,6,,Priapulidae,Priapulomorpha,,Priapulida
Amphibalanus amphitrite amphitrite,0.0001752,5,Amphibalanus,Balanidae,Balanomorpha,Thecostraca,Arthropoda
Caulerpa racemosa,0.014497,5,Caulerpa,Caulerpaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Osmundea pelagosae,0.0024836,5,Osmundea,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Sebdenia spp.,0.0008968,5,Sebdenia,Sebdeniaceae,Sebdeniales,Florideophyceae,Rhodophyta
Tubulanus spp.,0.0046922,5,Tubulanus,Tubulanidae,Tubulaniformes,Palaeonemertea,Nemertea
Actinaria,8e-05,4,,,,,
Caulerpa prolifera,0.00029875,4,Caulerpa,Caulerpaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Codium spp.,0.0001705,4,Codium,Codiaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Polyplacophora,8.25e-06,4,,,,Polyplacophora,Mollusca
Brachiopoda,0.000167666666666667,3,,,,,Brachiopoda
Euphausia krohni,1.3e-05,3,,,,,
Megerlia truncata,3.46666666666667e-05,3,Megerlia,Kraussinidae,Terebratulida,Rhynchonellata,Brachiopoda
Microdictyon tenuius,7.66666666666667e-05,3,Microdictyon,Anadyomenaceae,Cladophorales,Ulvophyceae,Chlorophyta
Naucrates ductor,4.33333333333333e-05,3,Naucrates,Carangidae,Carangiformes,Teleostei,Chordata
Neurocaulon foliosum,0.000190333333333333,3,Neurocaulon,Furcellariaceae,Gigartinales,Florideophyceae,Rhodophyta
Odondebuenia balearica,1.33333333333333e-06,3,Odondebuenia,Gobiidae,Gobiiformes,Teleostei,Chordata
Peyssonnelia rubra,0.000887666666666667,3,Peyssonnelia,Peyssonneliaceae,Peyssonneliales,Florideophyceae,Rhodophyta
Salmo trutta trutta,5.36666666666667e-05,3,Salmo,Salmonidae,Salmoniformes,Teleostei,Chordata
Thethya sp.,0.00112333333333333,3,,,,,
Asparagopsis taxiformis,0.000306,2,Asparagopsis,Bonnemaisoniaceae,Bonnemaisoniales,Florideophyceae,Rhodophyta
Coelorinchus mediterraneus,2e-05,2,Coelorinchus,Macrouridae,Gadiformes,Teleostei,Chordata
Gymnura altavela,0.0025015,2,Gymnura,Gymnuridae,Myliobatiformes,Elasmobranchii,Chordata
Hydractinia echinata ,7e-06,2,,,,,
Nitophyllum punctatum,1.6e-05,2,Nitophyllum,Delesseriaceae,Ceramiales,Florideophyceae,Rhodophyta
Regalecus glesne,5.4e-05,2,Regalecus,Regalecidae,Lampriformes,Teleostei,Chordata
Rhinoptera marginata,0.000275,2,Rhinoptera,Rhinopteridae,Myliobatiformes,Elasmobranchii,Chordata
Rodriguezella strafforelloi,0.0035965,2,Rodriguezella,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
Scaphopoda,1e-06,2,,,,Scaphopoda,Mollusca
Sphaerococcus rhizophylloides,0.0017775,2,Sphaerococcus,Sphaerococcaceae,Gigartinales,Florideophyceae,Rhodophyta
Tubulanus annulatus,1.75e-05,2,Tubulanus,Tubulanidae,Tubulaniformes,Palaeonemertea,Nemertea
Acrothamnion preissii,0.000693,1,Acrothamnion,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta
Aegidae,1e-06,1,,Aegidae,Isopoda,Malacostraca,Arthropoda
Antalis entalis,1e-06,1,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Mollusca
Antalis panorma,6e-06,1,Antalis,Dentaliidae,Dentaliida,Scaphopoda,Mollusca
Bonellidae,1.3e-05,1,,,,,
Botryocladia botryoides,0.001948,1,Botryocladia,Rhodymeniaceae,Rhodymeniales,Florideophyceae,Rhodophyta
Codium adhaerens,0.000934,1,Codium,Codiaceae,Bryopsidales,Ulvophyceae,Chlorophyta
Echiichthys vipera,0.000121,1,Echiichthys,Trachinidae,Perciformes,Teleostei,Chordata
Gelidium spp.,7e-06,1,Gelidium,Gelidiaceae,Gelidiales,Florideophyceae,Rhodophyta
Idotea spp.,1e-06,1,Idotea,Idoteidae,Isopoda,Malacostraca,Arthropoda
Jania rubens,2e-04,1,Jania,Corallinaceae,Corallinales,Florideophyceae,Rhodophyta
Kallymenia patens,0.000344,1,Kallymenia,Kallymeniaceae,Gigartinales,Florideophyceae,Rhodophyta
Peyssonnelia squamaria,0.451,1,Peyssonnelia,Peyssonneliaceae,Peyssonneliales,Florideophyceae,Rhodophyta
Polysiphonia nigra,0.036539,1,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta
