Species,dispatch_group,parameter_type,Locality,Year,Reference
Aristeus antennatus,invertebrate,growth (Loo/K/Winf/tmax),Tyrrhenian Sea,2002,
Aristeus antennatus,invertebrate,length-weight (a/b),Tyrrhenian Sea,,
Aristeus antennatus,invertebrate,maturity (Lm/Tmat),Tyrrhenian Sea/1995,,
Diplodus annularis,fish,growth (Loo/K/Winf/tmax),"Catalan coast; M is for Medas Is., 1996-99",1997,
Diplodus annularis,fish,length-weight (a/b),Gulf of Lion,,
Diplodus annularis,fish,maturity (Lm/Tmat),Eastern Atlantic and Mediterranean Sea,,
Engraulis encrasicolus,fish,growth (Loo/K/Winf/tmax),South of Sicily (GSA 16),2007,
Engraulis encrasicolus,fish,length-weight (a/b),Gulf of Lion,,
Engraulis encrasicolus,fish,maturity (Lm/Tmat),Mediterranean (early spawners),,
Merluccius merluccius,fish,growth (Loo/K/Winf/tmax),Algerian coasts,1998,
Merluccius merluccius,fish,length-weight (a/b),Gulf of Lion,,
Merluccius merluccius,fish,maturity (Lm/Tmat),Gulf of Lion,,
Monachus monachus,mammal,growth (Loo/K/Winf/tmax),Greek waters,1991,
Monachus monachus,mammal,maturity (Lm/Tmat),Greek waters/1991-2008,,
Mullus barbatus,fish,growth (Loo/K/Winf/tmax),Tunisian coasts,1981,
Mullus barbatus,fish,length-weight (a/b),"Balearic Islands, 1995-96",,
Mullus barbatus,fish,maturity (Lm/Tmat),Mediterranean coast (1995-1998),,
Nephrops norvegicus,invertebrate,growth (Loo/K/Winf/tmax),East Ligurian Sea,1998,
Nephrops norvegicus,invertebrate,length-weight (a/b),Ligurian Sea/1995,,
Nephrops norvegicus,invertebrate,maturity (Lm/Tmat),Eastern Ligurian Sea,,
Octopus vulgaris,invertebrate,growth (Loo/K/Winf/tmax),Mediterranean,1983,
Octopus vulgaris,invertebrate,length-weight (a/b),Balearic Islands/1995-1996,,
Octopus vulgaris,invertebrate,maturity (Lm/Tmat),Unspecified,,
Pagellus acarne,fish,growth (Loo/K/Winf/tmax),SW Mediterranean,1995,
Pagellus acarne,fish,length-weight (a/b),"Balearic Islands, 1995-96",,
Pagellus acarne,fish,maturity (Lm/Tmat),eastern Atlantic and Mediterranean Sea,,
Pagellus bogaraveo,fish,growth (Loo/K/Winf/tmax),Southern Alboran Sea (GSA 3),,
Pagellus bogaraveo,fish,length-weight (a/b),Gulf of Lion,,
Pagellus bogaraveo,fish,maturity (Lm/Tmat),eastern Atlantic and Mediterranean Sea,,
Phalacrocorax carbo,seabird,growth (Loo/K/Winf/tmax),"Unspecified, Israel ",2001,
Sardina pilchardus,fish,growth (Loo/K/Winf/tmax),South of Sicily (GSA 16),2007,
Sardina pilchardus,fish,length-weight (a/b),Gulf of Lion,,
Sardina pilchardus,fish,maturity (Lm/Tmat),Tunisia,,
Scorpaena notata,fish,growth (Loo/K/Winf/tmax),Balearic Islands,2004,
Scorpaena notata,fish,length-weight (a/b),"Balearic Islands, 1995-96",,
Scorpaena porcus,fish,growth (Loo/K/Winf/tmax),Ligurian Sea,,
Scorpaena porcus,fish,length-weight (a/b),"Balearic Islands & eastern coast of Iberian Peninsula, 2000-2001",,
Scorpaena porcus,fish,maturity (Lm/Tmat),Algerian Sea,,
Tursiops truncatus,mammal,growth (Loo/K/Winf/tmax),Southeast,2007,
Tursiops truncatus,mammal,length-weight (a/b),Unspecified,,
Tursiops truncatus,mammal,maturity (Lm/Tmat),"Not specified, China",,
