Species,FG,Biomass,dispatch_group,M_Pauly_1980,M_FishLife_2023,M_Gascuel_2008,M_Hoenig_1983,M_Then_2015,M_AlversonCarney_1975,Fmort,PB_Pauly_1980,PB_FishLife_2023,PB_Gascuel_2008,PB_Hoenig_1983,PB_Then_2015,PB_AlversonCarney_1975,PB,PB_method,QB_PalomaresPauly_1998Z,QB_PalomaresPauly_1998noZ,QB_ChristensenPauly_1992,QB_ChristensenEtAl_2008,QB,QB_method,PB_BarlowBoveng_1991,QB_InnesTrites_1997,QB_NilssonNilsson_1976,PB_TumbioloDowning_1994,PB_Brey_1999
Sardina pilchardus,19,3.5,fish,0.831441331022687,0.898507322101706,0.787866885105765,0.4845,0.768,0.6705,,0.831441331022687,0.898507322101706,0.787866885105765,0.4845,0.768,0.6705,0.768,Then et al. 2015,8.01157660880204,7.74696868481317,9.71268216459526,2.304,8.01157660880204,Palomares & Pauly 1998 (Z-based),,,,,
Engraulis encrasicolus,22,2.1,fish,0.70388230709847,0.913111630206707,0.787866885105765,0.4845,0.638,0.6705,,0.70388230709847,0.913111630206707,0.787866885105765,0.4845,0.638,0.6705,0.638,Then et al. 2015,8.1903043439929,8.5557524046701,10.54035024512,1.914,8.1903043439929,Palomares & Pauly 1998 (Z-based),,,,,
Diplodus annularis,35,0.6,fish,1.03039737428328,0.635135260801025,0.584519926042858,0.2535,0.976,0.296,,1.03039737428328,0.635135260801025,0.584519926042858,0.2535,0.976,0.296,0.976,Then et al. 2015,8.02656359011359,7.09750546185678,9.03698568320877,2.928,8.02656359011359,Palomares & Pauly 1998 (Z-based),,,,,
Pagellus acarne,35,0.3,fish,0.84428422348841,0.635135260801025,0.540384324364353,0.2535,0.779,0.296,,0.84428422348841,0.635135260801025,0.540384324364353,0.2535,0.779,0.296,0.779,Then et al. 2015,7.09485375591565,6.54608808300122,8.45469679256704,2.337,7.09485375591565,Palomares & Pauly 1998 (Z-based),,,,,
Pagellus bogaraveo,35,0.1,fish,0.307984648688538,0.635135260801025,0.455122698432351,0.2535,0.249,0.296,,0.307984648688538,0.635135260801025,0.455122698432351,0.2535,0.249,0.296,0.249,Then et al. 2015,3.47331001684484,3.85304228758519,5.46436407255628,0.747,3.47331001684484,Palomares & Pauly 1998 (Z-based),,,,,
Merluccius merluccius,30,1.8,fish,0.287604917312599,0.31107293138789,0.418569324537822,0.4845,0.229,0.6705,0.166666666666667,0.454271583979265,0.477739598054557,0.585235991204488,0.651166666666667,0.395666666666667,0.837166666666667,0.395666666666667,Then et al. 2015+F(Y/B),3.77984120811084,3.62674256830516,5.1986606837023,1.187,3.77984120811084,Palomares & Pauly 1998 (Z-based),,,,,
Mullus barbatus,50,0.9,fish,0.973746582722569,0.635135260801025,0.753658680889609,0.4845,0.916,0.6705,0.222222222222222,1.19596880494479,0.857357483023247,0.975880903111831,0.706722222222222,1.13822222222222,0.892722222222222,1.13822222222222,Then et al. 2015+F(Y/B),7.32444460510958,5.92456161243363,7.78785956006894,3.41466666666667,7.32444460510958,Palomares & Pauly 1998 (Z-based),,,,,
Scorpaena notata,40,0.25,fish,0.546151147577459,0.563802072876551,0.56831188067122,0.7155,0.482,1.045,,0.546151147577459,0.563802072876551,0.56831188067122,0.7155,0.482,1.045,0.482,Then et al. 2015,7.0502156563076,7.77412603524449,9.7407132373211,1.446,7.0502156563076,Palomares & Pauly 1998 (Z-based),,,,,
Scorpaena porcus,40,0.05,fish,0.439209719426854,0.563802072876551,0.514566685425748,0.7155,0.374,1.045,,0.439209719426854,0.563802072876551,0.514566685425748,0.7155,0.374,1.045,0.374,Then et al. 2015,4.96617864354074,5.34333842990344,7.15299857293628,1.122,4.96617864354074,Palomares & Pauly 1998 (Z-based),,,,,
Monachus monachus,6,0.015,mammal,,,,,,,,,,0.310726128326047,,,,0.0838684733240278,Barlow & Boveng 1991 (Siler),,,,0.251605419972083,11.0123718141949,Innes/Trites 1987/1997 (Eq.31),0.0838684733240278,11.0123718141949,,,
Tursiops truncatus,1,0.08,mammal,,,,,,,,,,0.288775739161416,,,,0.0839595897557875,Barlow & Boveng 1991 (Siler),,,,0.251878769267363,9.99332917614918,Innes/Trites 1987/1997 (Eq.31),0.0839595897557875,9.99332917614918,,,
Phalacrocorax carbo,8,0.02,seabird,,,,,,,,,,0.30843503067269,,,,0.30843503067269,Gascuel 2008 general (Eq.23) - no dedicated seabird PB method in protocol,,,,0.92530509201807,57.4912647980286,Nilsson & Nilsson 1976 (Eq.30),,,57.4912647980286,,
Octopus vulgaris,60,0.4,invertebrate,,,,,,,,,,,,,,0.344532607772666,Tumbiolo & Downing 1994 (Eq.17),,,,1.033597823318,1.033597823318,Q/P=3 (Christensen et al. 2008),,,,0.344532607772666,
Paracentrotus lividus,75,0.6,invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,
Aristeus antennatus,67,0.35,invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephrops norvegicus,71,0.5,invertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,
